N°;COMUNA;NOMBRE COMUNA;NOMBRE DE LA ORGANIZACIÓN;TIPO DE ORGANIZACIÓN;DANE ESTABLECIDO;TELÉFONO DE LA ORGANIZACIÓN;CORREO ELECTRÓNICO DE LA ORGANIZACIÓN;DIRECCIÓN FÍSICA DE LA ORGANIZACIÓN;NOMBRE DEL REPRESENTANTE LEGAL DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;NOMBRE DEL ENLACE DENTRO DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;CORREO ELECTRÓNICO;VALIDACION/SOCIALIZACION;FECHA ÚLTIMA ACTUALIZACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;3;MANRIQUE;INST EDUC RAMON MUNERA LOPERA;IE;105001002135;2636985;Sin registro;CR 30A 77-04;CARLOS OCTAVIO GOMEZ TABARES;RECTOR;2636985;CARLOS OCTAVIO GOMEZ TABARES;RECTOR;2636985;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;3;MANRIQUE;SEC ESC ALTO DE LA CRUZ;IE;105001002135;2318602;Sin registro;CL 79 C 24 21;CARLOS OCTAVIO GOMEZ TABARES;RECTOR;2636985;CARLOS OCTAVIO GOMEZ TABARES;RECTOR;2636985;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;3;MANRIQUE;INST EDUC PEDRO LUIS VILLA;IE;105001002488;2337963;admin.plv@pedroluisvilla.edu.co;CR 43 66 C 40;OSCAR EMILIO MURILLO PEREA;RECTOR;2337963;OSCAR EMILIO MURILLO PEREA;RECTOR;2337963;admin.plv@pedroluisvilla.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;3;MANRIQUE;SEC ESC MARCO FIDEL SUAREZ;IE;105001002488;2331640;admin.plv@pedroluisvilla.edu.co;CL 70 A 43 74;OSCAR EMILIO MURILLO PEREA;RECTOR;2337963;OSCAR EMILIO MURILLO PEREA;RECTOR;2337963;admin.plv@pedroluisvilla.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;3;MANRIQUE;SEC ESC VERSALLES;IE;105001002488;2843485;admin.plv@pedroluisvilla.edu.co;CL 71 33-33;OSCAR EMILIO MURILLO PEREA;RECTOR;2337963;OSCAR EMILIO MURILLO PEREA;RECTOR;2337963;admin.plv@pedroluisvilla.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;3;MANRIQUE;INST EDUC ENRIQUE OLAYA HERRERA;IE;105001005525;2911707;Sin registro;CL 71 A 32 18;JAQUELINE RODRIGUEZ MARIN;RECTOR;2911707;JAQUELINE RODRIGUEZ MARIN;RECTOR;2911707;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;3;MANRIQUE;INST EDUC SAN LORENZO DE ABURRA;IE;105001009652;2331978;rectoria@iesanlorenzodeaburra.edu.co;CR 39 # 80- 33;GABRIEL ANGEL AGUDELO CIFUENTES;RECTOR;2331978;GABRIEL ANGEL AGUDELO CIFUENTES;RECTOR;2331978;rectoria@iesanlorenzodeaburra.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;3;MANRIQUE;SEC ESC SAN LORENZO DE ABURRA;IE;105001009652;2118231;rectoria@iesanlorenzodeaburra.edu.co;CL 81 40-46;GABRIEL ANGEL AGUDELO CIFUENTES;RECTOR;2331978;GABRIEL ANGEL AGUDELO CIFUENTES;RECTOR;2118231;rectoria@iesanlorenzodeaburra.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;3;MANRIQUE;INST EDUC HERNAN TORO AGUDELO;IE;105001009865;2136830;Institucionhta@yahoo.com;CR 45 72 80;LIBIA MARIA PABON GARCIA;RECTOR;2136830;LIBIA MARIA PABON GARCIA;RECTOR;2136830;Institucionhta@yahoo.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;3;MANRIQUE;SEC ESC VICTOR GOMEZ RESTREPO;IE;105001009865;2118250;Institucionhta@yahoo.com;CR 44 78-67;LIBIA MARIA PABON GARCIA;RECTOR;2136830;LIBIA MARIA PABON GARCIA;RECTOR;2118250;Institucionhta@yahoo.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;3;MANRIQUE;SEC ESC NUESTRA SEÑORA DE LAS NIEVES;IE;105001009865;2136830;Institucionhta@yahoo.com;CL 79 44 21;LIBIA MARIA PABON GARCIA;RECTOR;2136830;LIBIA MARIA PABON GARCIA;RECTOR;2136830;Institucionhta@yahoo.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;3;MANRIQUE;INST EDUC FE Y ALEGRIA LA CIMA;IE;105001010588;2633119;comunicaciones@feyalegrialacima.edu.co;CR 36 C 86 B B 15;CLAUDIA MARIA GOMEZ HOYOS;RECTOR;2633119;CLAUDIA MARIA GOMEZ HOYOS;RECTOR;2633119;comunicaciones@feyalegrialacima.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;3;MANRIQUE;SEC ESC FE Y ALEGRIA NO 3;IE;105001010588;2112341;comunicaciones@feyalegrialacima.edu.co;CL 89 38-61;CLAUDIA MARIA GOMEZ HOYOS;RECTOR;2633119;CLAUDIA MARIA GOMEZ HOYOS;RECTOR;2112341;comunicaciones@feyalegrialacima.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;3;MANRIQUE;SEC ESC LA CIMA SAN JOSE;IE;105001010588;2631828;comunicaciones@feyalegrialacima.edu.co;CL 92C 31BB-23;CLAUDIA MARIA GOMEZ HOYOS;RECTOR;2633119;CLAUDIA MARIA GOMEZ HOYOS;RECTOR;2631828;comunicaciones@feyalegrialacima.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;3;MANRIQUE;INST EDUC REINO DE BELGICA;IE;105001012581;5722332;Sin registro;CL 94 24 C 39;JORGE IVAN CARDONA OCAMPO;RECTOR;5722332;JORGE IVAN CARDONA OCAMPO;RECTOR;5722332;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;3;MANRIQUE;INST EDUC RODRIGO LARA BONILLA;IE;105001019534;2849094;ie.rodrigolarabonill@medellin.gov.co;CR 25 69 D 35;JAMES EDUARDO OCAMPO MONSALVE;RECTOR;2849094;JAMES EDUARDO OCAMPO MONSALVE;RECTOR;2849094;ie.rodrigolarabonill@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;3;MANRIQUE;INST EDUC LAS NIEVES;IE;105001022101;5710070;ie.lasnieves@medellin.gov.co;CL 82 39 69;BEATRIZ ELENA BENITEZ HERRERA;RECTOR;5710070;BEATRIZ ELENA BENITEZ HERRERA;RECTOR;5710070;ie.lasnieves@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;3;MANRIQUE;INST EDUC BELLO ORIENTE;IE;105001026549;5288234;Sin registro;CR 23 B 84 B 27;ZOCIMO RAMOS RIVAS;RECTOR;5288234;ZOCIMO RAMOS RIVAS;RECTOR;5288234;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;3;MANRIQUE;SEC ESC BELLO ORIENTE;IE;105001026549;5290858;Sin registro;CL 83 B 25 C 06;ZOCIMO RAMOS RIVAS;RECTOR;5288234;ZOCIMO RAMOS RIVAS;RECTOR;5290858;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;3;MANRIQUE;COL MARIA REINA DEL CARMELO;IE;305001004528;4483299-5202564;Sin registro;CR 43 A 85 104;GRACIELA DEL SOCORRO AGUIRRE LOPEZ;RECTOR;4483299-5202564;GRACIELA DEL SOCORRO AGUIRRE LOPEZ;RECTOR;4483299-5202564;Sin registro;PENDIENTE VALIDACION;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;3;MANRIQUE;COL PABLO VI;IE;305001004871;3227700;Sin registro;CR 36 69 30;JORGE JOSE LUIS SANCHEZ GALLEGO;RECTOR;3227700;JORGE JOSE LUIS SANCHEZ GALLEGO;RECTOR;3227700;Sin registro;PENDIENTE VALIDACION;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;3;MANRIQUE;INST VICARIAL JESUS MAESTRO;IE;305001011770;2337127;Sin registro;CR 45 85 154;MAURICIO ALEXANDER ACEVEDO CANO;RECTOR;2337127;MAURICIO ALEXANDER ACEVEDO CANO;RECTOR;2337127;Sin registro;PENDIENTE VALIDACION;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;3;MANRIQUE;CENTRO EDUCATIVO MI DULCE HOGAR;IE;305001012156;2631648;Sin registro;CL 92 36 C 54;SOR LUCERO FLOREZ BETANCUR;RECTOR;2631648;SOR LUCERO FLOREZ BETANCUR;RECTOR;2631648;Sin registro;PENDIENTE VALIDACION;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;3;MANRIQUE;CENT PEDAG LA MAGIA DE APRENDER;IE;305001022453;2911974;Sin registro;CL 70 33 37;MARIA TERESA PELAEZ VELEZ;RECTOR;2911974;MARIA TERESA PELAEZ VELEZ;RECTOR;2911974;Sin registro;PENDIENTE VALIDACION;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;3;MANRIQUE;COL GENTE UNIDA JOVENES POR LA PAZ - LUZ DE ORIENTE;IE;305001022461;2514254-4447405 EXT 128;Sin registro;CR 24 72 150;DORA ALBA BENITEZ ARIAS;RECTOR;2514254-4447405 EXT 128;DORA ALBA BENITEZ ARIAS;RECTOR;2514254-4447405 EXT 128;Sin registro;PENDIENTE VALIDACION;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;3;MANRIQUE;CENT EDUC NUEVO AMANECER;IE;305001025622;528 63 66;Sin registro;CR 22B 87 48;GUSTAVO ADOLFO BELTRAN OLARTE;RECTOR;528 63 66;GUSTAVO ADOLFO BELTRAN OLARTE;RECTOR;528 63 66;Sin registro;PENDIENTE VALIDACION;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;3;MANRIQUE;COLEGIO BÁSICO SANTA MARIA DE LA CRUZ;IE;305001026335;2313169-2331133;Sin registro;CR 23 C 75 C 246;TELMO MIGUEL PÉREZ VEGA;RECTOR;2313169-2331133;TELMO MIGUEL PÉREZ VEGA;RECTOR;2313169-2331133;Sin registro;PENDIENTE VALIDACION;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;3;MANRIQUE;COL DE DSLLO SOC PARA LA ATENC INTEG AL JOVEN TALITA CUMI;IE;305001024623;5137998-5137636-2630644;Sin registro;CR 32 92 C 43;LUZ AMPARO JARAMILLO FERNANDEZ;RECTOR;5137998-5137636-2630644;LUZ AMPARO JARAMILLO FERNANDEZ;RECTOR;5137998-5137636-2630644;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;4;ARANJUEZ;INST EDUC CAMILO TORRES RESTREPO;IE;105001000141;2338044/5163058;Sin registro;CR 49 83 34;BEATRIZ ELENA CASTRO PINZON;RECTOR;2338044/5163058;BEATRIZ ELENA CASTRO PINZON;RECTOR;2338044/5163058;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;4;ARANJUEZ;INST EDUC JAVIERA LONDOÑO SEVILLA;IE;105001000876;2118291/2336219;ie.javieralondonosev@medellin.gov.co;CL 71 51 D 26;CLAUDIA ROCIO BOADA;RECTOR;2118291/2336219;CLAUDIA ROCIO BOADA;RECTOR;2118291/2336219;ie.javieralondonosev@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;4;ARANJUEZ;INST EDUC JUAN DE DIOS COCK;IE;105001002101;2118268/2110220;Sin registro;CL 88 45 70;HUMBERTO RESTREPO ZAPATA;RECTOR;2118268/2110220;HUMBERTO RESTREPO ZAPATA;RECTOR;2118268/2110220;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;4;ARANJUEZ;INST EDUC JOSE MARIA BRAVO MARQUEZ;IE;105001003425;2635951;ie.josemariabravomar@gmail.com;CL 70 47 A 04;BLANCA DORA GALEANO UPEGUI;RECTOR;2635951;BLANCA DORA GALEANO UPEGUI;RECTOR;2635951;ie.josemariabravomar@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;4;ARANJUEZ;SEC ESC PORFIRIO BARBA JACOB;IE;105001003425;2636085;ie.josemariabravomar@gmail.com;CR 47 74-32;BLANCA DORA GALEANO UPEGUI;RECTOR;2636085;BLANCA DORA GALEANO UPEGUI;RECTOR;2636085;ie.josemariabravomar@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;4;ARANJUEZ;INST EDUC CAMPO VALDES;IE;105001005291;2631096/2118234;ie.campovaldes@medellin.gov.co;CL 83 47 33;JULIO CESAR VELASQUEZ BOTERO;RECTOR;2631096/2118234;JULIO CESAR VELASQUEZ BOTERO;RECTOR;2631096/2118234;ie.campovaldes@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;4;ARANJUEZ;INST EDUC FRANCISCO MIRANDA;IE;105001005878;2335808;tramites@franciscomiranda.edu.co;CR 51 C 79 56;ANA MARIA MONTOYA ARBELAEZ;RECTOR;2335808;ANA MARIA MONTOYA ARBELAEZ;RECTOR;2335808;tramites@franciscomiranda.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;4;ARANJUEZ;SEC ESC JULIO ARBOLEDA;IE;105001005878;2333510;tramites@franciscomiranda.edu.co;CL 78 51-12;ANA MARIA MONTOYA ARBELAEZ;RECTOR;2333510;ANA MARIA MONTOYA ARBELAEZ;RECTOR;2333510;tramites@franciscomiranda.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;4;ARANJUEZ;INST EDUC SAN JUAN BOSCO;IE;105001009695;2120355;diegorec2009@hotmail.com;CL 82 50 C 10;DIEGO HENRY GARCIA URIBE;RECTOR;2120355;DIEGO HENRY GARCIA URIBE;RECTOR;2120355;diegorec2009@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;4;ARANJUEZ;INST EDUC ALFONSO MORA NARANJO;IE;105001019062;2333137/2110412/211823;Sin registro;CR 48 A 77 68;MARIA GEMMA MUÑOZ OSORNO;RECTOR;2333137/2110412/211823;MARIA GEMMA MUÑOZ OSORNO;RECTOR;2333137/2110412/211823;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;4;ARANJUEZ;SEC ESC SANTA MARIA GORETTI;IE;105001019062;2334295;Sin registro;CL 67 48A 32;MARIA GEMMA MUÑOZ OSORNO;RECTOR;2334295;MARIA GEMMA MUÑOZ OSORNO;RECTOR;2334295;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;4;ARANJUEZ;INST EDUC ALVERNIA;IE;305001004854;2333540/2334296;Sin registro;CL 82 C 50 C 126;ROSA ALEXANDRA LATORRE AHUMADA;RECTOR;2333540/2334296;ROSA ALEXANDRA LATORRE AHUMADA;RECTOR;2333540/2334296;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;4;ARANJUEZ;INST EDUC SAN AGUSTIN;IE;105001000205;2630607;contacto@iesanagustin.edu.co;CL 88 A 51 B 91;FLOR DE AZALIA VILLA ATEHORTUA;RECTOR;2630607;FLOR DE AZALIA VILLA ATEHORTUA;RECTOR;2630607;contacto@iesanagustin.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;4;ARANJUEZ;INST EDUC GILBERTO ALZATE AVENDAÑO;IE;105001000981;5717731 5221008;Sin registro;CL 92 51 A 100;HUMBERTO ANTONIO BERMUDEZ CARDONA;RECTOR;5717731 5221008;HUMBERTO ANTONIO BERMUDEZ CARDONA;RECTOR;5717731 5221008;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;4;ARANJUEZ;SEC ESC TOMAS CARRASQUILLA NO 1;IE;105001000981;3668358;Sin registro;CR 52 92-05;HUMBERTO ANTONIO BERMUDEZ CARDONA;RECTOR;3668358;HUMBERTO ANTONIO BERMUDEZ CARDONA;RECTOR;3668358;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;4;ARANJUEZ;SEC ESC CARLOS VILLA MARTINEZ;IE;105001000981;2367667;Sin registro;CR 50B 95-06;HUMBERTO ANTONIO BERMUDEZ CARDONA;RECTOR;2367667;HUMBERTO ANTONIO BERMUDEZ CARDONA;RECTOR;2367667;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;4;ARANJUEZ;SEC ESC SEGUROS BOLIVAR;IE;105001000981;2637256;Sin registro;CR 52 86-21;HUMBERTO ANTONIO BERMUDEZ CARDONA;RECTOR;2637256;HUMBERTO ANTONIO BERMUDEZ CARDONA;RECTOR;2637256;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;4;ARANJUEZ;SEC ESC SAN ISIDRO;IE;105001000981;3668358;Sin registro;CR 53 95 25;HUMBERTO ANTONIO BERMUDEZ CARDONA;RECTOR;3668358;HUMBERTO ANTONIO BERMUDEZ CARDONA;RECTOR;3668358;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;4;ARANJUEZ;INST EDUC JOSE EUSEBIO CARO;IE;105001002038;2362561/2364551;Sin registro;CR 50 A 93 77;FRANCISCO JAVIER RESTREPO ROLDAN;RECTOR;2362561/2364551;FRANCISCO JAVIER RESTREPO ROLDAN;RECTOR;2362561/2364551;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;4;ARANJUEZ;INST EDUC LORENZA VILLEGAS DE SANTOS;IE;105001003298;2117446;ie.lorenzavillegas@medellin.gov.co ielorenzavillegas@ielorenzavillegas.edu.co;CR 51 87 40;JUAN GUILLERMO VILLA OSPINA;RECTOR;2117446;JUAN GUILLERMO VILLA OSPINA;RECTOR;2117446;ie.lorenzavillegas@medellin.gov.co ielorenzavillegas@ielorenzavillegas.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;4;ARANJUEZ;SEC ESC ESTEBAN JARAMILLO;IE;105001003298;2630023;ie.lorenzavillegas@medellin.gov.co ielorenzavillegas@ielorenzavillegas.edu.co;CR 47 89-50;JUAN GUILLERMO VILLA OSPINA;RECTOR;2630023;JUAN GUILLERMO VILLA OSPINA;RECTOR;2630023;ie.lorenzavillegas@medellin.gov.co ielorenzavillegas@ielorenzavillegas.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;4;ARANJUEZ;SEC ESC SIMONA DUQUE;IE;105001003298;2365847;ie.lorenzavillegas@medellin.gov.co ielorenzavillegas@ielorenzavillegas.edu.co;CR 51 96-44;JUAN GUILLERMO VILLA OSPINA;RECTOR;2365847;JUAN GUILLERMO VILLA OSPINA;RECTOR;2365847;ie.lorenzavillegas@medellin.gov.co ielorenzavillegas@ielorenzavillegas.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;4;ARANJUEZ;INST EDUC MONSEÑOR FRANCISCO CRISTOBAL TORO;IE;105001005339;5240239;Sin registro;CR 50 D 90 49;PEDRO ANTONIO AGUALIMPIA PEREA;RECTOR;5240239;PEDRO ANTONIO AGUALIMPIA PEREA;RECTOR;5240239;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;4;ARANJUEZ;SEC ESC ANA FRANK;IE;105001005339;2362053;Sin registro;CR 50AA 88-13;PEDRO ANTONIO AGUALIMPIA PEREA;RECTOR;2362053;PEDRO ANTONIO AGUALIMPIA PEREA;RECTOR;2362053;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;4;ARANJUEZ;SEC ESC EPIFANIO MEJIA;IE;105001005339;2366368;Sin registro;CL 90 50A-09;PEDRO ANTONIO AGUALIMPIA PEREA;RECTOR;2366368;PEDRO ANTONIO AGUALIMPIA PEREA;RECTOR;2366368;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;4;ARANJUEZ;INST EDUC FRANCISCO LUIS HERNANDEZ BETANCUR;IE;105001017876;4448971- 2368970;iefranciscoluis@iefranciscoluis.edu.co;CL 87 50 AA 21;FERNANDO VARGAS ROJAS;RECTOR;4448971- 2368970;FERNANDO VARGAS ROJAS;RECTOR;4448971- 2368970;iefranciscoluis@iefranciscoluis.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;4;ARANJUEZ;INST EDUC FE Y ALEGRIA LUIS AMIGO;IE;305001018022;2634812;administrador@feyalegrialuisamigo.edu.co;CR 58 84 40;WALTER GABRIEL VELEZ RAMIREZ;RECTOR;2634812;WALTER GABRIEL VELEZ RAMIREZ;RECTOR;2634812;administrador@feyalegrialuisamigo.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;4;ARANJUEZ;INST EDUC EL BOSQUE ;IE ;305001022640;5160365;ie.elbosque@medellin.gov.co;CR 58 85 B 81;JOSE NELIO MARMOLEJO RAGA;RECTOR;5160365;JOSE NELIO MARMOLEJO RAGA;RECTOR;5160365;ie.elbosque@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;4;ARANJUEZ;COL NUESTRA SENORA DE LOURDES;IE ;305001004218;2348789;colegionsl@clourdes.edu.co;CL 82 50 BB 30;JAIDITH YARITZA GUERRA PERNETT;RECTOR;2348789;JAIDITH YARITZA GUERRA PERNETT;RECTOR;2348789;colegionsl@clourdes.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;4;ARANJUEZ;COL GENTE UNIDA JOVENES POR LA PAZ - MORAVIA;IE ;305001021261;2634217-4447405 OPC 402;Informacion@genteunida.org.co;CR 58 85 B 25;SANDRA PATRICIA VALENCIA SANCHEZ;RECTOR;4447405 ext402;SANDRA PATRICIA VALENCIA SANCHEZ;RECTOR;4447405 ext402;Informacion@genteunida.org.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;5;CASTILLA;INST EDUC DIEGO ECHAVARRIA MISAS;IE ;105001000931;2732700 ext 101-103-111;info@idem.edu.co;CL 111 70 68;CESAR AUGUSTO CEBALLOS GONZALEZ;RECTOR;2732700 ext 101-103-111;CESAR AUGUSTO CEBALLOS GONZALEZ  ;RECTOR;2732700 ext 101-103-111;info@idem.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;5;CASTILLA;SEC ESC EDUARDO URIBE BOTERO;IE ;105001000931;2732700 Ext 111 -116;info@idem.edu.co;CR 74 112 30;CESAR AUGUSTO CEBALLOS GONZALEZ;RECTOR;2732700 Ext 111 -116;CESAR AUGUSTO CEBALLOS GONZALEZ  ;RECTOR;2732700 Ext 111 -116;info@idem.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;5;CASTILLA;INST EDUC SOR JUANA INES DE LA CRUZ;IE ;105001001848;2675005/2678688;psicologaeep@iesorjuanainesdelacruz.edu.co;CR 67 103 EE 1;JHONY MAURICIO CANO GIRALDO;RECTOR;2675005;JHONY MAURICIO CANO GIRALDO;RECTOR;2675005/2678688;psicologaeep@iesorjuanainesdelacruz.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;5;CASTILLA;SEC ESC SOR JUANA;IE ;105001001848;2678688 Ext 107;psicologaeep@iesorjuanainesdelacruz.edu.co;CL 103 EE  65 85;JHONY MAURICIO CANO GIRALDO;RECTOR;2678688 Ext 107;JHONY MAURICIO CANO GIRALDO;RECTOR;2678688 Ext 107;psicologaeep@iesorjuanainesdelacruz.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;5;CASTILLA;INST EDUC JULIO CESAR GARCIA;IE ;105001006092;2730139/4620326;ie.jcesargarcia@gmail.com;CL 111 A 65 26;GABRIEL EDUARDO GUZMAN BOOM;RECTOR;2730139/4620326;GABRIEL EDUARDO GUZMAN BOOM;RECTOR;2730139/4620326;ie.jcesargarcia@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;5;CASTILLA;INST EDUC RODRIGO CORREA PALACIO;IE ;105001006483;2677445;rodrigocorreapalacio@latin.co;CL 103 66 63;CLARA ASTRID CEBALLOS AGUDELO;RECTOR;2677445;CLARA ASTRID CEBALLOS AGUDELO;RECTOR;2677445;rodrigocorreapalacio@latin.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;5;CASTILLA;INST EDUC SEBASTIAN DE BELALCAZAR;IE ;105001007111;2674506/2672090;ie.sebastiandebelalc@medellin.gov.co;CL 103 EE 63 D 185;JOSE CICERON PEREA COPETE;RECTOR;2674506 2672090;JOSE CICERON PEREA COPETE;RECTOR;2674506/2672090;ie.sebastiandebelalc@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;5;CASTILLA;INST EDUC JOSE ASUNCION SILVA;IE ;105001011061;2739576;Sin registro;CL 118 64 CC 68;JAIME DE JESUS SUAREZ ESCOBAR;RECTOR;2739576;JAIME DE JESUS SUAREZ ESCOBAR;RECTOR;2739576;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;5;CASTILLA;INST EDUC MAESTRO PEDRO NEL GOMEZ;IE ;105001013072;4620035;ie.maestropedronelgo@medellin.gov.co;CL 118 70 42;JOHN JAIRO GARCIA GARCIA;RECTOR;4620035;JOHN JAIRO GARCIA GARCIA;RECTOR;4620035;ie.maestropedronelgo@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;5;CASTILLA;SEC ESC DIEGO MARIA GOMEZ;IE ;105001013072;2730379;ie.maestropedronelgo@medellin.gov.co;CR 74    115-16;JOHN JAIRO GARCIA GARCIA;RECTOR;4620035;JOHN JAIRO GARCIA GARCIA;RECTOR;2730379;ie.maestropedronelgo@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;5;CASTILLA;INST EDUC FELIX DE BEDOUT MORENO;IE ;105001013439;4631980;Sin registro;CL 108 70 39;RENE DE JESUS ANDRADE;RECTOR;4631980;RENE DE JESUS ANDRADE;RECTOR;4631980;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;5;CASTILLA;INST EDUC PBRO ANTONIO JOSE BERNAL LONDOÑO SJ;IE ;105001025780;4631218/4631680;ie.pantoniojbernal@medellin.gov.co;CL 105 A 63 A 200;HERNAN DARIO DIAZ BENJUMEA;RECTOR;4631218/4631680;HERNAN DARIO DIAZ BENJUMEA;RECTOR;4631218/4631680;ie.pantoniojbernal@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
